#    201
polymer number    rg squared    mean rg
870.0000   150.7391    12.2435
871.0000    13.5401     3.6157
872.0000    51.6811     7.1166
873.0000    21.8998     4.5310
874.0000   602.2710    24.5054
875.0000   113.7568    10.6391
876.0000   1263.8608    35.4966
877.0000    12.7533     3.5334
878.0000   134.1774    11.4032
879.0000    16.8266     4.0465
880.0000   351.5981    18.6454
881.0000    99.2405     9.7958
882.0000   639.0168    25.2475
883.0000   571.5496    23.8557
884.0000   719.6192    26.7402
885.0000    14.3521     3.7251
886.0000   806.0029    28.3504
887.0000    13.0165     3.5726
888.0000   1802.8276    42.3442
889.0000    12.3041     3.4173
890.0000   346.7911    18.5941
891.0000    14.8597     3.7500
892.0000   518.4615    22.6531
893.0000    20.0003     4.2958
894.0000    16.5065     3.9989
895.0000   709.9684    26.5709
896.0000   1054.7180    32.3363
897.0000    13.9656     3.6630
898.0000    17.0602     4.0772
899.0000   798.0687    28.2407
900.0000   667.7898    25.7593
901.0000   228.2207    14.9179
902.0000   101.6494    10.0364
903.0000   135.0275    11.5162
904.0000   292.1179    16.7939
905.0000   578.4202    23.7953
906.0000    10.0660     3.1478
907.0000    18.8433     4.2737
908.0000    13.5174     3.6119
909.0000    16.7375     4.0263
